"","Year2","spp","model","fit","se","upper","lower"
"173",1999,"Sparus aurata","modS_fit",1792.27804599328,0.161624258886259,2476.22687404546,1297.24001779432
"174",2000,"Sparus aurata","modS_fit",1732.79656489301,0.161937985359971,2395.54936754536,1253.40098433524
"175",2001,"Sparus aurata","modS_fit",1664.99777129871,0.163353085599562,2308.34301142433,1200.95564857977
"176",2002,"Sparus aurata","modS_fit",1593.16809621908,0.166198861077211,2221.36588302159,1142.62337519913
"177",2003,"Sparus aurata","modS_fit",1521.42272277879,0.170934510813227,2141.51799394999,1080.88146255459
"178",2004,"Sparus aurata","modS_fit",1452.25348704301,0.177809584222511,2072.4586321454,1017.65128524921
"179",2005,"Sparus aurata","modS_fit",1386.96306862394,0.186994629663375,2015.98069345035,954.208817562826
"180",2006,"Sparus aurata","modS_fit",1326.51486509144,0.198476345940182,1972.90641419451,891.903272577163
"181",2007,"Sparus aurata","modS_fit",1270.86150107399,0.211927676215298,1941.67377210449,831.802426399117
"182",2008,"Sparus aurata","modS_fit",1219.56589144729,0.226921566135455,1920.02479690732,774.646747259386
"183",2009,"Sparus aurata","modS_fit",1172.98656357848,0.242181525357627,1903.92237398308,722.664693233908
"184",2010,"Sparus aurata","modS_fit",1130.53980163883,0.256995206714209,1890.20564996102,676.180522006123
"185",1965,"Cyprinus carpio","modS_fit",10764.8687080734,0.847102648782049,58585.8518907603,1977.99288671494
"186",1966,"Cyprinus carpio","modS_fit",10462.1946534187,0.820203871255911,53956.3827347722,2028.62963412635
"187",1967,"Cyprinus carpio","modS_fit",10151.7644403005,0.79009618732176,49295.8501232328,2090.60845879963
"188",1968,"Cyprinus carpio","modS_fit",9830.50881008649,0.756555991555658,44638.7661139965,2164.90982789256
"189",1969,"Cyprinus carpio","modS_fit",9500.71979120178,0.720814327185832,40165.0099600013,2247.32115442827
"190",1970,"Cyprinus carpio","modS_fit",9161.17049174972,0.683085982935835,35914.6725935108,2336.84560426899
"191",1971,"Cyprinus carpio","modS_fit",8811.94437309992,0.643704966868236,31929.1073550289,2431.96161957147
"192",1972,"Cyprinus carpio","modS_fit",8454.53537673976,0.603351365807489,28258.8239199775,2529.44597549271
"193",1973,"Cyprinus carpio","modS_fit",8088.88747329802,0.562326582129131,24906.8873872326,2626.98825182055
"194",1974,"Cyprinus carpio","modS_fit",7715.98659508354,0.520993361365278,21873.6142241584,2721.83867400174
"195",1975,"Cyprinus carpio","modS_fit",7337.61229010225,0.479914138704387,19160.3255981235,2810.00204532707
"196",1976,"Cyprinus carpio","modS_fit",6954.52764141962,0.439483609540581,16749.361292408,2887.59994312095
"197",1977,"Cyprinus carpio","modS_fit",6568.33313003173,0.400167384086001,14622.9887047508,2950.35447117975
"198",1978,"Cyprinus carpio","modS_fit",6181.18288252333,0.362595039079767,12764.906631504,2993.12975254389
"199",1979,"Cyprinus carpio","modS_fit",5794.36140398609,0.327363086491059,11151.9173854464,3010.65932606526
"200",1980,"Cyprinus carpio","modS_fit",5409.79132891025,0.295179565229205,9762.70634278244,2997.71817309539
"201",1981,"Cyprinus carpio","modS_fit",5030.64425097917,0.266818415606401,8577.86363433273,2950.31288194154
"202",1982,"Cyprinus carpio","modS_fit",4661.36171194237,0.242815148875205,7575.64060445989,2868.17896255144
"203",1983,"Cyprinus carpio","modS_fit",4308.33945396968,0.223410527500129,6735.37580674061,2755.86535677126
