Name;Common_name;Stage;Group;Order;Family;Species;Lagoon;Year;Year2;Kgs
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1990-91;1990;1828,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1990-91;1990;2624,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1990-91;1990;2047,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1991-92;1991;35,70
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1991-92;1991;1137,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1991-92;1991;7229,00
Anguila palangre;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1991-92;1991;535,10
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1991-92;1991;46,10
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1991-92;1991;2665,90
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1991-92;1991;4259,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1992-93;1992;1141,50
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1992-93;1992;445,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1992-93;1992;2732,00
Anguila palangre;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1992-93;1992;95,20
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1992-93;1992;4612,70
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1992-93;1992;2936,50
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1992-93;1992;487,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1993-94;1993;122,80
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1993-94;1993;1528,00
Anguila pantena (agafada a la pantena);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1993-94;1993;3796,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1994-95;1994;139,70
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1994-95;1994;614,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1994-95;1994;2651,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1994-95;1994;2050,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1994-95;1994;2700,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1994-95;1994;2501,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1994-95;1994;1250,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Clot - Baseta;1995-96;1995;68,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1995-96;1995;1382,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1995-96;1995;3917,75
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1995-96;1995;1170,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1995-96;1995;2955,50
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1995-96;1995;1097,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1995-96;1995;700,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1996-97;1996;7155,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1996-97;1996;8380,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1996-97;1996;258,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1996-97;1996;1600,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Encanyissada;1997-98;1997;2782,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Goleta;1997-98;1997;249,00
Anguila;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Tancada;1997-98;1997;4222,00
Anguila borda (de panxa groga);Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1997-98;1997;1061,00
Anguila vera;Eel;Adult;Fish;Anguilliformes;Anguillidae;Anguilla anguilla;Canal vell;1997-98;1997;6053,00
