"","Name","commonName","Stage","Group","Order","Family","Species","Lagoon","Year","Year2","Kgs"
"434","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1990-91",1990,2800
"435","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1990-91",1990,2047
"436","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Tancada","1990-91",1990,106.7
"437","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Tancada","1990-91",1990,1262
"438","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1990-91",1990,1392.3
"439","Llobet","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Tancada","1990-91",1990,3506.2
"440","Calua","Thinlip mullet","Adult","Fish","Mugiliformes ","Mugilidae","Liza ramada","Tancada","1990-91",1990,767
"441","Cabeçut","Grey mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mugil cephalus","Tancada","1990-91",1990,1617.5
"442","Llisa","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1990-91",1990,2703.5
"443","Llisal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1990-91",1990,2045
"444","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Tancada","1990-91",1990,159
"445","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Tancada","1990-91",1990,40
"446","Palaes","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Tancada","1990-91",1990,64
"447","Muixarra","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Tancada","1990-91",1990,1419.5
"448","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Canal vell","1996-97",1996,532
"449","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1990-91",1990,3193
"450","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Canal vell","1996-97",1996,1198
"451","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Canal vell","1996-97",1996,1575
"452","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Encanyissada","1990-91",1990,2624
"453","Llissal","Mullet","Adult","Fish","Mugiliformes ","Mugilidae","Mullet ind.","Canal vell","1996-97",1996,2887
"454","Jovell","Sand smelt","Adult","Fish","Atheriniformes","Atherinidae","Atherina boyeri","Encanyissada","1990-91",1990,96.15
"455","Crancs","Mediterranean green crab","Adult","Crustaceans","Decapoda","Portunidae","Carcinus aestuarii","Canal vell","1996-97",1996,1076
"456","Palaia","Eckstroms topknot","Adult","Fish","Pleuronectiformes","Scophthalmidae","Phrynorhombus regius + Other sp.","Canal vell","1996-97",1996,26
"457","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Encanyissada","1990-91",1990,576
"458","Llobarro","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Clot - Baseta","1990-91",1990,269
"459","Dorada","Sea bream","Adult","Fish","Perciformes","Sparidae","Sparus aurata","Canal vell","1996-97",1996,1099
"460","Llop","European seabass","Adult","Fish","Perciformes","Moronidae","Dicentrarchus labrax","Encanyissada","1990-91",1990,3515
"461","Anguila borda (de panxa groga)","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1995-96",1995,1382
"462","Anguila vera","Eel","Adult","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1995-96",1995,2955.5
"463","Angula","Eel","Juvenile","Fish","Anguilliformes","Anguillidae","Anguilla anguilla","Canal vell","1995-96",1995,339.12
"464","Tenca","Common carp","Adult","Fish","Cyprininiformes","Cyprinidae","Cyprinus carpio","Canal vell","1995-96",1995,2800
