Maximum_length;Maximum_weight;Maximum_longevity;Rheophily;Limnophily;Long_migration;Potamodromy;Benthic;Water_column;Invertivory;Omnivory;Piscivory;Tolerance;Intolerance;Fusiform_shape;Elongated_form;Eel-like_form;Reproductive_span;Lithophily;Phytophily;Mean_fecundity;Maximum_fecundity;Egg_size;Parental_care;Age_maturity;Length_maturity;Single_spawning;Species;Database
;;;1;0;;;;;;;0;;;;;;;1;0;;;;;;;;Petromyzon marinus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Phoxinus bigerri;3
;;;1;0;;;;;;;0;;;;;;;0;0;;;;;;;;Platichthys flesus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pomatoschistus microps;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma duriense;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma polylepis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudochondrostoma willkommii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Pseudorasbora parva;3
;;;0;0;;;;;;;0;;;;;;;0;0;;;;;;;;Rutilus rutilus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salaria fluviatilis;3
;;;1;0;;;;;;;1;;;;;;;1;0;;;;;;;;Salmo salar;3
;;;1;0;;;;;;;1;;;;;;;1;0;;;;;;;;Salmo trutta;3
;;;1;0;;;;;;;1;;;;;;;1;0;;;;;;;;Salvelinus fontinalis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Salvelinus umbla;3
;;;0;0;;;;;;;1;;;;;;;0;1;;;;;;;;Sander lucioperca;3
;;;0;1;;;;;;;0;;;;;;;0;1;;;;;;;;Scardinius erythrophthalmus;3
;;;0;0;;;;;;;1;;;;;;;0;1;;;;;;;;Silurus glanis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius alburnoides;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius aradensis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius carolitertii;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius castellanus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius laietanus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius malacitanus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius palaciosi;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius pyrenaicus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius torgalensis;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Squalius valentinus;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Syngnathus abaster;3
;;;0;1;;;;;;;0;;;;;;;0;1;;;;;;;;Tinca tinca;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Valencia hispanica;3
;;;;;;;;;;;;;;;;;;;;;;;;;;;Xiphophorus maculatus;3
25;;6;0;0;0;;0;0;1;0;0;;;;;;1;1;0;;;;;2;;;Achondrostoma arcasii;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma occidentale;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma oligolepis;4
;;;;;;;;;;;;;;;;;;;;;;;;;;;Achondrostoma salmantinum;4
345;400000;100;0;1;1;;1;0;0;0;1;;;;;;3;1;0;1600000;2400000;;;11;;;Acipenser sturio;4
25;60;6;0;1;0;;0;0;1;0;0;;;;;;2;1;0;5750;6500;;;2.5;;;Alburnus alburnus;4
70;4000;10;0;0;1;;0;1;0;0;0;;;;;;1;1;0;164000;250000;;;5;;;Alosa alosa;4
55;1500;25;0;1;1;;0;1;0;0;0;;;;;;1;1;0;137500;200000;;;3.5;;;Alosa fallax;4
