taxa_name,year,stratum,n_obs,depth,temp_bottom,weight,number
Gadus morhua,1982,387,3,317.4313725,NA,171,55.66666667
Gadus morhua,1982,388,3,309.2592593,3.266666667,17,9.333333333
Gadus morhua,1982,389,4,226.6386555,1.4,55.625,28.5
Gadus morhua,1982,390,4,121.8125,-0.7,0.525,1
Gadus morhua,1982,391,2,215.0632911,-1.42E-15,23,4.5
Gadus morhua,1982,392,2,308.2891566,1.8,20.25,13.5
Gadus morhua,1982,609,1,255.097561,-0.1,491,317
Gadus morhua,1982,617,1,359.7676768,2.8,30,13
Gadus morhua,1982,620,9,239.4574468,-0.044444444,45.72222222,19.66666667
Gadus morhua,1982,621,13,251.3089888,NA,21,7.692307692
Gadus morhua,1982,622,4,431.4035088,NA,14.125,6
Gadus morhua,1982,623,4,348.0987654,2.15,63.625,18.75
Gadus morhua,1982,624,7,267.4830918,2.142857143,134.2142857,60
Gadus morhua,1982,625,3,334.7189542,2.666666667,74.66666667,32.33333333
Gadus morhua,1982,626,6,342.4176471,2.1,26,12.16666667
Gadus morhua,1982,627,7,440.7552083,2.828571429,3.714285714,1.714285714
Gadus morhua,1982,628,7,335.3650794,2.542857143,15.57142857,6
Gadus morhua,1982,629,2,343.9789474,2.2,33.5,11
Gadus morhua,1982,631,2,446.0100503,3.25,0,0
Gadus morhua,1982,633,6,349.1159794,3.516666667,46.91666667,20.16666667
Gadus morhua,1982,634,13,254.1149826,2.107692308,165.7307692,79.53846154
Gadus morhua,1982,635,6,237.752809,NA,72.66666667,31.66666667
Gadus morhua,1982,636,10,260.7598039,2.1,129.5,64.1
Gadus morhua,1982,637,7,267.0714286,2.142857143,156,75.42857143
Gadus morhua,1982,638,14,331.4475524,3.085714286,62.32142857,34.21428571
Gadus morhua,1982,639,12,339.0459016,2.875,69.83333333,26.75
Gadus morhua,1982,641,2,657.2962963,3.9,0,0
Gadus morhua,1982,642,3,899.7183099,3.333333333,0,0
Gadus morhua,1982,645,2,480.9651163,3.9,0,0
Gadus morhua,1982,646,1,653.1428571,4.8,0,0
Gadus morhua,1982,647,2,905,4.2,0,0
Gadus morhua,1982,650,2,486.0363636,3.9,0,0
Gadus morhua,1982,651,1,685.1014493,3.9,0,0
Gadus morhua,1982,652,3,886.9661017,3.433333333,0,0
Gadus morhua,1982,735,2,442.3164557,3.65,1,1
Gadus morhua,1983,201,6,157.3267327,NA,124.5833333,126.3333333
Gadus morhua,1983,202,2,250.6455696,-0.3,115,55.5
Gadus morhua,1983,203,6,434.9714286,2.85,65.5,28.5
Gadus morhua,1983,204,3,491.8425197,2.633333333,56.66666667,20.33333333
Gadus morhua,1983,205,10,174.004065,-0.52,41.37,22.1
Gadus morhua,1983,206,12,171.0827338,-0.483333333,83.41666667,71.58333333
Gadus morhua,1983,207,11,161.3190789,-0.436363636,68.87272727,72.81818182
Gadus morhua,1983,208,1,350.8988764,2.2,179,95
Gadus morhua,1983,209,2,246.5486726,0.45,102.25,66
Gadus morhua,1983,210,5,235.0251572,-0.16,1085.8,612.4
Gadus morhua,1983,211,2,343.125,1.05,121.75,53.5
Gadus morhua,1983,212,3,537,3.766666667,0,0
Gadus morhua,1983,213,11,230.1811024,0.981818182,180.2727273,142.0909091
Gadus morhua,1983,214,12,240.2453532,NA,65.225,42.5
Gadus morhua,1983,215,8,261.8274336,NA,115.8125,62.5
Gadus morhua,1983,216,3,345.2222222,3.733333333,0.833333333,0.333333333
Gadus morhua,1983,217,2,437.443038,4.1,0,0
Gadus morhua,1983,218,3,594.2808989,4.266666667,0,0
Gadus morhua,1983,219,2,854.4428571,4.25,0,0
Gadus morhua,1983,222,5,337.2954545,3.16,3.6,2
Gadus morhua,1983,223,2,440.373494,4.25,0,0
Gadus morhua,1983,224,2,579.1071429,4.15,0,0
Gadus morhua,1983,227,3,448.8,3.933333333,3.333333333,0.666666667
Gadus morhua,1983,228,7,252.7040498,NA,23.28571429,22
Gadus morhua,1983,229,4,339.9052632,3.825,12.125,15.75
Gadus morhua,1983,230,2,598.8876404,4.5,0,0
Gadus morhua,1983,231,2,844.5441176,4.3,0,0
Gadus morhua,1983,234,4,253.8105263,-0.05,107.75,92.25
Gadus morhua,1983,235,2,447.4358974,3.85,50.25,36
Gadus morhua,1983,236,2,842.6470588,3.95,0,0
Gadus morhua,1983,237,2,146.5833333,-0.35,348,327
Gadus morhua,1983,238,1,150.4931507,-0.5,129.5,113
Gadus morhua,1983,240,1,452.2372881,3.8,0,0
Gadus morhua,1983,341,4,129.7178218,-1.325,16.5,11.5
Gadus morhua,1983,342,4,142.9777778,-1.4,6,6.25
Gadus morhua,1983,343,3,155.7333333,-1.333333333,16.76666667,8.333333333
Gadus morhua,1983,344,9,217.3381643,NA,21.44444444,12.55555556
Gadus morhua,1983,345,9,309.3190476,NA,53.48888889,24.33333333
Gadus morhua,1983,346,4,315.9352941,2.9,141,81.5
Gadus morhua,1983,3472,5,216.1842105,-0.98,49.5,31.4
Gadus morhua,1983,348,12,162.5588235,-1.216666667,18.83333333,12
Gadus morhua,1983,3492,9,124.5551601,-1.288888889,14.27777778,10.22222222
Gadus morhua,1983,3501,8,80.30693069,0.0875,54.4375,40.75
Gadus morhua,1983,3632,3,78.41762452,-0.2,134.6666667,97.66666667
Gadus morhua,1983,364,13,119.6786704,-1.107692308,8.607692308,7.307692308
Gadus morhua,1983,365,5,159.6888889,-1.04,12.3,7.4
Gadus morhua,1983,3661,5,227.8495935,NA,76.3,37.8
Gadus morhua,1983,369,6,223.2739726,-0.016666667,81.08333333,35
Gadus morhua,1983,370,5,131.9820359,-1.16,12.14,6.8
Gadus morhua,1983,371,5,79.89808917,-0.92,72.8,55.6
Gadus morhua,1983,372,4,69.11051213,0.5,240.25,203.25
Gadus morhua,1983,384,3,75.11734694,-0.466666667,70.66666667,71.66666667
Gadus morhua,1983,385,5,132.3224756,NA,5.76,1.8
Gadus morhua,1983,390,3,121.8125,-0.733333333,7.666666667,1
Gadus morhua,1983,391,2,215.0632911,1.3,7.5,30
Gadus morhua,1983,392,2,308.2891566,2.65,10,3
Gadus morhua,1983,609,2,255.097561,0.15,149,94.5
Gadus morhua,1983,617,4,359.7676768,NA,133.375,64
Gadus morhua,1983,618,1,164.2362637,-0.8,89,80
Gadus morhua,1983,620,11,239.4574468,0.218181818,149.1363636,79.27272727
Gadus morhua,1983,621,10,251.3089888,-0.26,7.875,6.8
Gadus morhua,1983,622,3,431.4035088,3.5,6.366666667,2.666666667
Gadus morhua,1983,623,2,348.0987654,2.85,167.75,84.5
Gadus morhua,1983,624,7,267.4830918,2.585714286,196.7857143,119.1428571
Gadus morhua,1983,625,5,334.7189542,3.1,51.4,21.2
Gadus morhua,1983,626,4,342.4176471,2.65,57,18.5
Gadus morhua,1983,627,5,440.7552083,2.96,8,2.4
Gadus morhua,1983,628,6,335.3650794,1.15,45.83333333,23
Gadus morhua,1983,629,4,343.9789474,2.5,35.375,17.75
Gadus morhua,1983,630,2,358.2674419,2.2,20.75,7.5
Gadus morhua,1983,631,6,446.0100503,3.316666667,13.85,5
Gadus morhua,1983,633,12,349.1159794,3.283333333,85.54166667,56.58333333
Gadus morhua,1983,634,4,254.1149826,2.225,87.125,36.75
Gadus morhua,1983,635,6,237.752809,0.766666667,33.83333333,12.83333333
Gadus morhua,1983,636,6,260.7598039,0.916666667,58,23.83333333
Gadus morhua,1983,637,5,267.0714286,2.12,203.8,102.6
Gadus morhua,1983,638,12,331.4475524,3.133333333,140.9583333,81.91666667
Gadus morhua,1983,639,8,339.0459016,NA,74.0625,32.625
Gadus morhua,1983,640,1,488.2857143,4.2,6,1
Gadus morhua,1983,641,2,657.2962963,4.15,0,0
Gadus morhua,1983,645,3,480.9651163,4.033333333,1.833333333,0.333333333
Gadus morhua,1983,646,2,653.1428571,4.2,0,0
Gadus morhua,1983,735,1,442.3164557,3.3,16,1
Gadus morhua,1983,736,2,639.4626866,4.2,0,0
Gadus morhua,1983,930,2,165.3333333,NA,37.6,23
Gadus morhua,1984,201,3,157.3267327,-0.866666667,112.3333333,98.33333333
Gadus morhua,1984,202,2,250.6455696,-0.55,89.25,56.5
Gadus morhua,1984,203,4,434.9714286,NA,69.75,36.5
Gadus morhua,1984,204,2,491.8425197,NA,82.5,53.5
Gadus morhua,1984,205,14,174.004065,NA,157.5357143,147.3571429
Gadus morhua,1984,206,8,171.0827338,0.05,178.3125,135.375
Gadus morhua,1984,207,6,161.3190789,NA,102.5,67.83333333
Gadus morhua,1984,208,2,350.8988764,0.85,18.25,9
Gadus morhua,1984,209,2,246.5486726,NA,55.5,26.5
Gadus morhua,1984,210,6,235.0251572,-0.366666667,115.0833333,57.66666667
Gadus morhua,1984,211,2,343.125,2.85,38.5,12
Gadus morhua,1984,212,1,537,4.9,0,0
Gadus morhua,1984,213,5,230.1811024,0.18,76.5,50.6
Gadus morhua,1984,214,5,240.2453532,NA,317.4,243.8
Gadus morhua,1984,215,4,261.8274336,-0.125,82.875,63.5
Gadus morhua,1984,216,3,345.2222222,1.6,29,11
Gadus morhua,1984,222,4,337.2954545,2.5,1.5,0.75
Gadus morhua,1984,223,2,440.373494,3.5,0,0
Gadus morhua,1984,224,2,579.1071429,4.35,0,0
Gadus morhua,1984,227,3,448.8,3.966666667,0.5,0.333333333
Gadus morhua,1984,228,11,252.7040498,1.8,38.29090909,22.54545455
Gadus morhua,1984,229,3,339.9052632,3.833333333,1.333333333,0.666666667
Gadus morhua,1984,230,3,598.8876404,3.933333333,0,0
Gadus morhua,1984,231,1,844.5441176,3.8,0,0
Gadus morhua,1984,234,2,253.8105263,-0.55,94.25,77
Gadus morhua,1984,235,4,447.4358974,3.55,3.375,1.75
Gadus morhua,1984,236,2,842.6470588,3.7,0,0
Gadus morhua,1984,237,3,146.5833333,-0.6,135.6666667,153.6666667
Gadus morhua,1984,240,1,452.2372881,4.8,0,0
Gadus morhua,1984,341,3,129.7178218,-1.166666667,10.46666667,13.66666667
Gadus morhua,1984,342,3,142.9777778,-1.266666667,4.5,18.66666667
Gadus morhua,1984,343,3,155.7333333,-0.966666667,1.166666667,1
Gadus morhua,1984,344,10,217.3381643,-1.01,13.025,13
Gadus morhua,1984,345,9,309.3190476,1.911111111,22.3,21.33333333
Gadus morhua,1984,346,3,315.9352941,2.866666667,83.16666667,45
Gadus morhua,1984,3472,6,216.1842105,-0.433333333,59.01666667,33.66666667
Gadus morhua,1984,348,11,162.5588235,-1.127272727,19.88181818,19.36363636
Gadus morhua,1984,3492,5,124.5551601,-1.06,9.5,16.2
Gadus morhua,1984,364,12,119.6786704,NA,10.20833333,9.416666667
Gadus morhua,1984,365,4,159.6888889,-0.625,60,49.75
Gadus morhua,1984,3661,9,227.8495935,0.055555556,60.5,36.55555556
Gadus morhua,1984,369,1,223.2739726,-0.8,13,12
Gadus morhua,1984,609,3,255.097561,-1.1,204.5,114.6666667
Gadus morhua,1984,617,1,359.7676768,0.6,294.5,142
Gadus morhua,1984,618,6,164.2362637,NA,102.1916667,34.16666667
Gadus morhua,1984,619,7,167.7688679,NA,27.15714286,11.42857143
Gadus morhua,1984,620,15,239.4574468,-0.306666667,178.7533333,97.46666667
Gadus morhua,1984,621,13,251.3089888,-0.230769231,55.13846154,20.23076923
